Distrito,Concelho,CodDistritoConcelho,P_IP_TOTAL,P_IP_Inef,Rate_Ineficiencia,Cap_PTD,Util_Media,N_PTDs,Ganho_LED,PFolga,PVE,D
Leiria,Pombal,1015,1487.6672018375398,525.59,0.3532981027953031,107470,0.5635333333333333,610,341.6335,43154.50685333334,8052.0,35444.14035333334
Leiria,Porto de Mós,1016,511.37910207748416,227.03,0.44395635073409867,45655,0.5516591928251121,226,147.5695,18831.479587443944,2983.2,15995.849087443945
Lisboa,Alenquer,1101,550.0428991775512,11.81,0.021471052562734363,85035,0.542624584717608,310,7.676500000000001,35781.48496345515,4092.0,31697.16146345515
Lisboa,Arruda dos Vinhos,1102,190.70959959793092,6.859999999999999,0.035970921308957675,29010,0.5590983606557377,124,4.459,11767.312032786886,1636.8,10134.971032786887
Lisboa,Azambuja,1103,292.29030000686646,13.13,0.044921093856660835,52668,0.5373423423423423,238,8.534500000000001,22417.873232432434,3141.6,19284.807732432437
Lisboa,Cadaval,1104,242.49960118484498,5.7700000000000005,0.023793853564327415,29390,0.5946,151,3.7505000000000006,10961.52952,1993.1999999999998,8972.080020000001
Lisboa,Cascais,1105,4514.775201587677,3494.92,0.7741072022303498,463680,0.5019521912350599,789,2271.6980000000003,212460.02333067727,10414.8,204316.9213306773
Lisboa,Lisboa,1106,9065.655299848557,28.985,0.0031972316441905967,1767583,0.4005137614678899,2278,18.84025,974870.3492462385,30069.6,944819.5894962385
Lisboa,Loures,1107,2743.6415086708066,1406.535,0.5126526171713354,346540,0.5366012084592146,701,914.2477500000001,147739.3198429003,9253.199999999999,139400.3675929003
Lisboa,Lourinhã,1108,476.5698987922668,59.790000000000006,0.1254590358130487,59440,0.5412554112554112,236,38.8635,25086.35608658009,3115.2,22010.01958658009
Lisboa,Mafra,1109,1417.9549080123902,24.86,0.01753229235959792,181335,0.5566967509025271,580,16.159,73955.48310108302,7656.0,66315.64210108302
Lisboa,Oeiras,1110,3439.515600082397,2757.62,0.8017466180220082,388680,0.4623756906077348,572,1792.453,192246.7112486188,7550.4,186488.76424861883
Lisboa,Sintra,1111,5354.724623470306,2764.9849999999997,0.516363621740843,543540,0.5533037475345167,1052,1797.2402499999998,223373.4985798817,13886.4,211284.33882988172
Lisboa,Sobral de Monte Agraço,1112,131.97379914283752,1.27,0.009623122227658666,20040,0.6134177215189873,82,0.8255,7127.340151898734,1082.3999999999999,6045.765651898734
Lisboa,Torres Vedras,1113,1152.3800947532654,154.945,0.1344565050242169,185715,0.5519765494137353,623,100.71424999999999,76548.30111557791,8223.6,68425.41536557791
Lisboa,Vila Franca de Xira,1114,1629.1319177627563,525.255,0.3224140379750946,240890,0.48081896551724135,493,341.41575,115060.27784482761,6507.599999999999,108894.0935948276
Lisboa,Amadora,1115,1812.7461012535096,348.16,0.1920621976564993,208060,0.5634057971014492,286,226.30400000000003,83570.76666666668,3775.2,80021.87066666668
Lisboa,Odivelas,1116,1359.9431039123535,656.84,0.4829907943283578,207965,0.5354093567251462,358,426.946,88889.10567836258,4725.599999999999,84590.45167836257
Portalegre,Alter do Chão,1201,94.73900004577636,11.314,0.11942283531104673,10200,0.39732142857142855,57,7.3541,5655.535714285714,752.4,4910.489814285714
Portalegre,Arronches,1202,83.18180065917969,0.54,0.006491804646217493,15250,0.341875,113,0.35100000000000003,9233.493750000001,1491.6,7742.244750000002
Portalegre,Avis,1203,117.4128002243042,15.5,0.1320128637626303,16450,0.4150892857142857,122,10.075000000000001,8852.03875,1610.3999999999999,7251.713750000001
Portalegre,Campo Maior,1204,131.38810071563722,14.78,0.11249116106783748,30870,0.46238709677419354,162,9.607,15268.421496774195,2138.4,13139.628496774196
Portalegre,Castelo de Vide,1205,85.0260002822876,4.65,0.05468915372429528,10520,0.3543835616438356,74,3.0225000000000004,6248.534136986302,976.8,5274.756636986302
